time,x,y
0.04,372.80441360317224,433.06301080683846
0.24,373.247020070553,433.08127095575327
0.44,374.143642331519,431.47130312770946
0.64,358.34472410543367,424.6936707630534
0.84,349.58137912875355,419.12073663405255
1.04,350.11276544113207,421.6292285296577
1.24,348.6165683472887,423.3907110384962
1.44,350.9743405627338,423.44148303807805
1.64,353.1196859695536,424.48229595851546
1.84,354.1210888217944,426.4650050951746
2.04,356.2487945706567,424.3645571499833
2.24,360.70229695940037,426.6597998848264
2.44,361.25249394781275,427.77195562398464
2.64,366.06043979631596,427.40741462873575
2.84,366.60236990711957,427.49223516905386
3.04,371.05050003095295,430.7459017449072
3.24,374.7735927861844,431.8753668102688
3.44,378.4241036424417,430.57869342550504
3.64,382.31702995912246,434.70739940651157
3.84,385.7227976003639,432.59932355353556
4.04,391.0654104162387,435.295648403451
4.24,392.5367136784198,436.6696249087632
4.44,391.7794038248342,436.8314381189629
4.64,386.0980671869265,433.93743182301165
4.84,377.04326989026964,432.0362473163063
5.04,368.20738354963356,425.2604925381701
5.24,362.87344869686444,424.29675720065546
5.44,356.25763297365955,420.7462661069591
5.64,350.4891052847746,420.2578358271333
5.84,350.2501216059994,420.9604534910434
6.04,354.23301641731257,421.7604646000429
6.24,359.73892288751944,422.4427208675105
6.44,364.4206544943497,426.38279943885215
6.64,370.23011300507324,428.2624224490431
6.84,375.8793242941528,431.99379399734215
7.04,382.05374641309925,433.7671009277025
7.24,388.01608026628537,432.86031403762576
7.44,390.4644336924951,436.23060625772507
7.64,393.03786273653657,439.50896466387155
7.84,376.2941475878357,429.9143515919602
8.04,360.81742058303985,428.7886085058681
8.24,350.54707780652,424.53333494923737
8.44,351.61335338086553,422.23908283231447
8.64,355.7440307206659,426.20348117934435
8.84,359.73347697007233,427.2390528368712
9.04,363.7956796943285,427.37299873150243
9.24,364.5765891019975,429.3223867015617
9.44,367.45160492872293,431.1059891450591
9.64,369.7821419019942,429.1992818759488
9.84,374.3586234923642,432.7493004482157
10.04,374.7081536880339,436.9623818031207
10.24,377.6233563253426,435.2604095482528
10.44,379.78126285722425,436.44212126784464
10.64,368.72360279568875,429.4197863378421
10.84,365.67647306392075,428.2042314933309
11.04,355.6497275311131,424.8192455856919
11.24,356.64619255132885,425.1509435779599
11.44,356.7886199975352,425.8585620843105
11.64,362.13317931276464,427.16776292876614
11.84,362.16452225647254,428.65354627431094
12.04,367.1119778772017,428.3389582286686
12.24,372.5354048452881,431.1789203632241
12.44,378.7681395882905,433.18498883017867
12.64,381.7077765660134,436.457819759211
12.84,383.79582307052215,438.2175161797224
13.04,380.30406255478874,437.56557172375403
13.24,372.7777851242452,431.16284468946094
13.44,366.16554001677173,426.7172653844352
13.64,359.9492880939897,425.82473291346025
13.84,354.03013340980834,422.15738371768964
14.04,355.27941245269636,420.10561281171294
14.24,353.4361923279043,421.5167036259397
14.44,357.196540922579,426.22961215641647
14.64,365.53139508029494,427.10195477009717
14.84,370.9627965213779,428.53074569626784
15.04,373.51776075129055,429.0131675781787
15.24,376.84229424998233,432.49957918501525
15.44,379.45670304385595,435.3142761490016
15.64,387.5342087189506,437.1186780943456
15.84,364.8363438046863,437.9020102493199
16.04,341.7811088904247,430.7442505941438
16.24,326.1404244805015,422.194602688505
16.44,306.5014998082753,397.0763539270709
16.64,294.9146430487746,380.4413442226705
16.84,304.3515522695169,394.03293560648365
17.04,338.59330818666655,428.6643953333547
17.24,354.8296002982376,444.94740862764127
17.44,352.97730221610453,430.66222709598463
17.64,365.52014062349946,426.9072493869253
17.84,369.986744759591,433.80513931919313
18.04,367.15747395969754,431.61926226936197
18.24,363.20957898568963,427.73766671015517
18.44,352.0377706503011,421.93039450812904
18.64,347.1027542447009,421.74556963610996
18.84,345.77749295575023,419.6331858000825
19.04,347.78887843516037,419.301895917022
19.24,352.853835945152,422.1935987071918
19.44,355.9562074066363,424.9213672881843
19.64,358.6878799700938,423.26650269578386
19.84,361.1676889379042,424.04351200860725
20.04,363.18386266936227,426.8359089014503
